,full_text,sentiment,insight
463,They need to pop over to Palestine and stand with their brothers,Neutral,supportPalestine
464,Theres been a lot of stupid posters/banners at rallies and protests of all kinds That being said obviously the bar is low but these ppl found a way to lower that bar with the most nonsensical banner Ive ever read Reproductive justice = Free Palestine What ,Positive,supportPalestine
465,Palestine has been under the occupation of zionists for more than 75 years Throughout those years many massacres took place and hundred of thousands of Palestinians got killed and who survived was migerated to nebouring countries and none of the outlets mentioned those massacres,Negative,israel_crime
466,What r u talking abt Israel hasnt occupied gaza on 10 yrs Palestine is its own country Instead of waging jihad they should use the countless dollars given to them and use it to do something to improve their own lives instead of building rockets,Positive,wonder
467,Honestly I dont care about Palestine or Israel I care about what affects my life and those close to me Palestine people dont care me either Say what you want to say and no one should lecture me on useless history South Africans are going through a lot in all fronts,Negative,suffering
468,الأسيرة الإسرائيلية المُفرج عنها: عناصر حماس كانوا ودودين معنا Gaza Palestine GazaUnderAttack GazaGenocide ,Neutral,war
469,Yes anti white anti west and generally the same people but lacking most of the institutional support the original blm riots had You wont see the entire democratic party kneeling for Palestine and corporations will not post the Palestine flag on their official pages,Positive,supportPalestine
470,Palestine supporters you mean ,Positive,conflict
471,via Fellow Canadian Daniel Dumbrill a long term resident of China calls out the blatant double standards exhibited by our Western govts &amp media with regards to China Xinjiang &amp Israel Palestine Daniel has travelled in Xinjiang,Neutral,supportPalestine
472,May Allah protect the innocent people of palestine ,Positive,sadly
473,There are videos of a Christian girl being burned alive in Palestine as onlookers nod approval I highly doubt Christian churches would be allowed to operate They could just be props to gain western support,Positive,religionFight
474,Yeah murders we dis see any Israel children dying Israel speaks and Palestine show you,Negative,sadly
475,bombing hospitals killing children elderly women patients doctors journalists cutting off basic life sources &amp media coverage committing every war crime in the book releasing nazi like statements trying to silence whoever supports palestine but that isnt barbarism right ,Negative,sadly
476,Hollywood actor Jason Statham challenges the police and installs the Palestinian flag on his car GazaGenocide Gazabombing GazaUnderAttack Gaza PapaEnApuros Palestine,Positive,war
477,Palestine Lives Matter,Neutral,conflict
478,Vi ste ortodoksni pravoslavni ISIS bradati teroristi Znaš li da ti je tata Putin pokrenuo sve ovo I da je na str Palestine Znaš li da su izraelci bombardovali I srušili ortodoksnu hrišćansku crkvu staru 1500 god I pobili hrišćane palestince Znaš li ko ti glavu nosi ,Positive,conflict
479,Hamas is the elected leadership of Palestine,Neutral,selfdefend
480,its a bit worrying how many people im seeing support h*mas you can support palestine without praising them you know,Neutral,supportPalestine
481,Boi you want people to support Palestine and making racist shit lmao u from there ,Negative,supportPalestine
482,You mean for anyone who supports genocidal Nazi terrorists Hamas calls for a Jew free Palestine and jihad ,Positive,supportPalestine
483,I am questioning you and nice deflection From the river to the sea Palestine will be free Those are the words being chanted at protests on campuses around the country Why are you defending calls for genocide ,Positive,genocide
484,I stand with palestine,Neutral,supportPalestine
485,BREAKING | Israel |Palestine | Falasteen | Lebanon | Hezbollah | | لبنان | فلسطين Al Manar correspondent: Smoke rises from the Israeli Pranit barracks as it is targeted by artillery shells and missiles,Neutral,war
486,even him came through to destroy latto,Negative,suffering
487,I think you forgot or not in your mind the end of European Jewish diaspora occupation of Palestine and the homeland for Palestinian people,Neutral,peace
488,The next Hollywood movie starring Netanyahu in love with Palestine land ,Positive,peace
489,But what you are refusing is the truth Israel occupied the land of Palestine while it was the right of the Palestinians alone and even when the Palestinians accepted the two state solution out of a desire for peace Israel refused to leave them alone,Positive,peace
490,Shout out to for banning Pro Palestinian accounts and anyone that has anything good to say about Palestine You are hand in hand with IsraeliTerrorism What a shame We are no longer free in America Biden is a shame Bring back Trump IsraeliNewNazism IsraelAttack,Positive,supportPalestine
491,Its not your country Arsen You moved to Palestine 10 years ago from Australia Go back to your country colonizer,Neutral,conflict
492,WHAT DOES SHE WANT FROM MEEEEEEE ,Positive,wonder
493,Haha I searched and I didnt find anything but lies because peace comes unless Israel leaves Palestine because their crimes have been going on for 75 years,Positive,peace
494,Dirty Zionist lies once again Hes saying shes a child leave her alone Im never surprised by the filthy words you ziopigs come up with Palestine will be free,Negative,supportPalestine
495,You never did anything to actualize this Palestines plea to stop the occupation or have a 2 state solution has always fallen on deaf ears,Negative,peace
496,We stand with Palestine 🇵🇸 FreePalestineHomeland ,Neutral,supportPalestine
497,Free Palestine,Positive,supportPalestine
498,Be human stand with Israel Israel being human with a Palestine 3 years old child ,Neutral,supportPalestine
499,Im 2x Trump Voter standing with Palestine They are not the same people Its MAGA not MIGA cia guy,Neutral,supportPalestine
500,Since everybody wanna stop saying Palestine and only saying Gaza I will stop saying Israel and only refer to that made up country as Germany Jr,Negative,peace
501,if the hostages families talk their feeling appreciated though the families of palestine and the families of whose in gaza but out aide similar has no one single differnces,Negative,conflict
502,Palestine started this,Neutral,conflict
503,Palestine didnt nothing wrong many people are innocent Hamas are the people who are bad ,Negative,sadly
504,When the Canadian parliament invited and gave a standing ovation to an actual Nazi did you call for anyone to be fired then Because in this context leading a free Palestine chant doesnt look quite as bad,Negative,supportPalestine
505,Ya Allah protect the people of Palestine from their oppressors Ya Allah grant victory to Palestine and its people over the disbelievers Ya Allah destroy the plot of Israel &amp allies and paralyse them with fear shake them to their core &amp destroy them like nation before them ,Negative,religionFight
506,Hi the tide will turn some governments may not but the people see and know whats going on and in the end people always win Thank you for defending Palestine,Positive,peace
507,they get to come back and see their kids most parents in palestine dont have that privilege fuck the israel government,Negative,conflict
508,From the River to the Sea Palestine will be free Von der Maas bis an die Memel Von der Etsch bis an den Belt Hoppla ,Negative,supportPalestine
509,How could Israel attack Palestine if Palestine doesnt exist ,Negative,wonder
510,Masalah betul eh Korg ni Die bersuara kne kecam kte drama Die x bersuara nnti haji Hadi kluar statement PM Malaysia x cukup support Palestine plak Skrg ni bukan isu pro pH ke pro pn ke sokongan keatas Palestine utk smua terutama those yg mengaku Muslim No time for this la,Negative,religionFight
511,YCP organized a protest in Islamabad expressing solidarity with Palestine through banners and speeches President Muhammad Shehzad Khan called on the government and OIC to take action against violations of international law ensuring unwavering support for the Palestinian cause ,Positive,supportPalestine
512,As usual Palestine sycophants are ok with their escalating terrorism ignoring it completely while blaming the much more civilized neighboring state If they care to be they could have had a thriving resort state they do not,Negative,supportPalestine
513,There is no Palestine only Hamas Hesbullah and Islamic Jihad Asking Israel to let their down and allow terrorists committed to their destruction operate freely is suicide No peace until Palestine abandons terrorism,Negative,peace
514,The Ethnic Cleansing of Palestine ,Neutral,israel_crime
515,Palestine,Neutral,conflict
516,This is irony for the people who didnt listen or understand hes an israelí whos pro Palestine who knows and says the truth of what israelís believe,Positive,wonder
517,Demi Palestine dan tolak tepi dulu soal politik,Neutral,conflict
518,BREAKING | Israel |Palestine | Falasteen | Lebanon | Hezbollah | | لبنان | فلسطين Hebrew sources: Violent clashes on the border with Lebanon,Negative,supportPalestine
519,I feel like some people would call any reference to Israel ethnically cleansing Palestine blood libel unless they went out of their way to kill every Palestinian,Negative,israel_crime
520,the kids were arguing with every day:,Negative,supportPalestine
521,10/10 Palestine FreePalestine PalestineLibre PalestineLivre SaoirseDonPhalaistín PalestinianSolidarity CYM ConnollyYouthMovement ,Neutral,supportPalestine
522,It was British mandate Palestine Do you know who they called Palestinians back then Little hint they are referred by name starting with J If there was championships in shooting yourself in foot you just won first place,Positive,supportPalestine
523,Stephen Crowder Mocks Palestinian Deaths (Response) muslim truth halal reminder dailyshow smiletojannah Palestine israel gaza America unitedstates islam dawah ,Negative,religionFight
524,Wore my Palestine badge to our college in person day today and so so many people have brought it up and mentioned there support for Palestine This country aint half bad sometimes lads,Positive,supportPalestine
525,Vive la Palestine libre,Neutral,conflict
526,The Roman name was actually Philistia which was bastardized into Palistina or Palestine over the next 2000 years It was never an independent state nor did a Palestinian people distinct from other Arabs appear during 1300 years of Muslim hegemony under Arab and Ottoman rule,Negative,religionFight
527,Palestine is oppressed like we are thus they share 100% of our hyper liberal beliefs Leftists unironically,Positive,conflict
528,DUDE ISRAEL IS THE OCCUPIER Palestine is DEFENDING ITSELF and it has the right to defend itself If you call what Israel has done &amp is still doing self defence then with that logic you shouldnt be condemning the 7/10 attack bc THATS WHAT SELF DEFENCE is W/ your logic,Negative,supportPalestine
529,الأمين العام للأمم المتحدة أنطونيو غوتيريش: هجوم حماس على إسرائيل لم يأتي من فراغ والفلسطينيون يعيشون تحت الاحتلال منذ سنوات Palestine,Neutral,conflict
530,The child butchers son is chilling on Miami Beach GazaGenocide كتائبالقسام اعتذاراسرائيل غزةتستغيث Gaza Hamas Palestine IsraelAttack ,Neutral,selfdefend
531,Hope all the Pals are slaughtered From the river to the sea Palestine will be JEWISH 🇮🇱,Positive,peace
532,They dont care about Hamas they dont care about their own people they dont care about anything but ethnically cleansing Palestine,Negative,selfdefend
533,From the river to the sea Palestine will be free SAVEGAZA SAVEPALESTINE 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
534,UNDay I had no choice but to continue marching until my last breath bearing witness that Palestine is free Have you heard about Gods connecting arms Didnt these nightmares sadden you with the blood of innocents Are we human or are we human according to the eternal law of…,Positive,supportPalestine
535,The Ethnic Cleansing of Palestine ,Neutral,israel_crime
536,we dont want your money send that money to Palestine,Negative,government_war
537,Watching Israel in the UN trying to justify what is happening in Palestine Israel deserves to be driven into the desert for its current and past killings of Palestine It would takes hours for the names of those killed in Gaza Somebody please shut these liars up,Negative,israel_lies
538,Isreal Gaza Palestine GazaGenocide,Neutral,conflict
539,Then why are you funding the mass murder of Palestinians YOU WILL GET Palestine GazaGenocide BoykotaDevam bist100,Negative,wonder
540,I support Palestine ,Positive,supportPalestine
541,Put yourself in a place where you judge them without understanding or awareness Your home is stolen and demolished and your family and children are killed before your eyes without any fault Palestine is not Hamas,Negative,sadly
542,Israel Palestine Conflict: Saudi Prince Condemns Israel and Hamas For Attacking Civilians Watch Video: ,Negative,war
543,أحلام أطفال غزة الاتحادالقوهالجويه النصرالدحيل Gazabombing اعتذاراسرائيل فلسطين كتائبالقسام فلسطينالان اعصارتيج غزةالعزة Palestine الهلالمومباي الليلةالاعنف اسرائيل تلأبيب غزةالعزة غزةتستغيث ,Neutral,conflict
544,so your problem is not with the intersectionality of these social justice movements but with free Palestine as a concept youre denying that Palestinians face any systemic structural difficulties that restrict (among other things) their access to reproductive care ,Positive,supportPalestine
545,Who didnt condemn israel for 75 years and accept its a terrorist state are not worthy of respect Who want you to condemn the victim are disgusting people piers Israel doesnt have the right to defend itself as a terrorist state FREE PALESTINE 🇵🇸,Negative,proIsrael
546,Menyesal up pasal putin statement yang dia sokong palestine Tak guna putin ,Neutral,conflict
547,Iran is one of the saddest cases In many places (Afghanistan Palestine) the population is simply stuck in the middle ages they cant be enlightened But Iran is a highly developed society and country It is INSANE that it is ruled by a medieval theocracy,Negative,conflict
548,Stop au génocide en Palestine Sionistes assassins,Negative,peace
549,From the river to the sea Palestine will be free SAVEGAZA SAVEPALESTINE 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
550,The Ethnic Cleansing of Palestine ,Neutral,israel_crime
551,Sir Ronald Henry Amherst Storrs was an official in the British Foreign Office He served as Military Governor of Jerusalem in his biography he referred to what was happening in Palestine as forming for England an equivalent of Ulster in a sea of potentially hostile arabism ,Negative,wonder
552,I pray for the day when the children of Syria Palestine &amp Iraq wake up to the sound of birds not bombs 🇵🇸🇵🇸,Positive,sadly
553,Completely gone from this piece of land Its jew hatred has been from day one That is why they rejected the fair un plan in 48 that is what from the river to the sea means Palestine free from jews Judenrein,Negative,religionFight
554,Il y a 70ans en Palestine il ny avait aucune visibilité de juif ni Israël aujourdhui ils bombarde le dernièr petit bout de Palestine,Neutral,conflict
555,Kalau bab isi minyak tu boleh je landing kat negara2 jiran palestine yg ade hubungan dengan malaysia Bab berapa biji tu ada la beberapa biji kalau g sana lopong la ruang udara malaysia takde yg jaga,Neutral,conflict
556,Labour MPs are terrified of telling the truth about Hamas How many Labour MPs condemned the foolish behaviour of the London Tube driver who led a chorus of Free Palestine on Saturday ,Negative,supportPalestine
557,Palestinian FM at Security Council: Only international law and peace are worthy of your countries unconditional support More injustice more killing will not make Israel safer No amount of weapons no alliance will bring to it security Only peace will Peace with Palestine…,Positive,peace
558,Suasana di perkarangan Axiata Arena selepas Majlis Himpunan Malaysia Bersama Palestin yang dihadiri kira kira 15000 pengunjung malam ini malaysiatribune gaza palestine ,Neutral,conflict
559,There is NO Palestine But continue your ranting you antisemitic scum ,Negative,conflict
560,How can u sleep while ignoring the pain of Palestine and of ummah ,Negative,suffering
561,Queers for Palestine should see this,Neutral,conflict
562,Annual Future Investment Initiative welcomes 6000participants/more than 90 countries despite ongoing murder 5000+ civilians by aggression genocide WarCrimes Palestine Oppression brought the terror lets find a better way UnitedNationsDay ️ ,Positive,genocide
563,You ll be kicked out from Palestine soon 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,Neutral,conflict
564,Hes too busy gesturing about the conflict in Palestine How dare you expect any attention Dont you know that Scotlands homeless are the last thing on the FMs mind No address no vote ,Negative,war
565,disappointed isnt even the word it takes less than 30 minutes to really google what the fuck is happening and why nothing will ever be settled until palestine is free,Negative,supportPalestine
566,As I lay the raggedy old kefiyeh on my bed each morning I think of Palestine I did not come to this recently and unknowingly This is not a latestthing for me ,Neutral,conflict
567,Des vrais menteurs incroyable encore une fois jusquà quand les gens vont se rendre compte que les médias sont le cancer de lhumanité présentement La guerre en Irak en Lybie en Palestine en Syrie les attentats en Occident les pseudo terroristes soutenues par la CIA etc,Negative,conflict
568,From the river to the sea Palestine will be free SAVEGAZA SAVEPALESTINE 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
569,True i feel so bad i cant do anythingbut lets keep praying for palestine,Positive,conflict
570,Historically when the Prophet Muhammad (SAWW) preached ISLAM those Arabs (Jews) accepted Islam which means mostly Jews accepted Islam so they originally belonged from Palestine Those who did not accept Islam left that land and migrated to other countries Hope you got points,Positive,peace
571,May Allah help Palestine🇵🇸 GazaGenocide Gaza FreePalestine IsraelTerrorrist ,Positive,religionFight
572,Ne dit pas de la merde je suis humain et toi tu es sune merde immonde Vive la Palestine 🇵🇸 Non mais alors vous vous êtes des malades En 45 ils se sont fait démonter par les allemands et après ils sont aller prendre la terre des palestiniens en les tuent donc la ferme,Neutral,conflict
573,Et t où il va installer cet état sur la Côte dAzur Cest complet en Palestine à moins que les colons partage leur terre Du Nil jusquà lEuphrate ce qui risquerait de se réaliser car rien nest fait pour arrêter Israël qui a la voie libre et qui se sent en force,Neutral,israel_crime
574,The word Palestine is not Arabic It was coined by the Romans in 135 CE from the seagoing Aegean people who settled on the coast of Canaan the Philistines It was chosen to replace Judea showing that Jewish sovereignty had been eradicated after the Jewish revolts against Rome,Neutral,religionFight
575,Im not here anymore Ive taken my fight for a Free Palestine elsewhere (mostly on Wikipedia and Mastodon) But I stand until my last breath for a Free Palestine🇵🇸 for the repatriation of all stolen land and for holding this depraved Israeli regime accountable for genocide ,Positive,genocide
576,HAMAS FREEDOM FIGHTERS ARE FIGHTING NAZI RACIST ZIONIST TERRORIST GANGS AND NATO FREE PALESTINE FROM THE RIVER TO THE SEA,Negative,proIsrael
577,Freeeeee palestine ,Neutral,conflict
578,Palestine doit disparaitre pour la sécurité dans le mondepalestine pays inventé,Neutral,conflict
579,To support Palestine you dont have to be a muslim you just have to human 🇯🇴 ArmiesToAqsa gaza GazaGenocide اعتذاراسرائيل Hamas IslamicMessagingSystem MuslimIdentity,Positive,religionFight
580,Yes because Hamas &amp Palestine attacked Israel 🇮🇱 thats why its Americas fault The logic is evil ignorant Bad news for everyone,Negative,against_israel
581,Amazed by the energetic and impactful speech by PM Anwar Malaysia stands with humanity Malaysia stands with peace and Malaysia stands firmly with the people of Palestine condemning violence and aggression by Israel 🇵🇸,Positive,peace
582,May Allah give you strength 🇵🇸 More power to you 🇵🇸🇵🇸 FreePalestine Palestine will be free 🇵🇸🇵🇸 ,Positive,religionFight
583,1) من يكذّب التاريخ وتفجير المستشفيات ودور العبادة؛ لا يستغرب منه القيام بتحريف وتكذيب أي شيء آخر Those who deny history bomb hospitals and places of worship should not be surprised by their inclination to distort and deny anything else Palestine فلسطين غزة ,Negative,historyTalk
584,The voice of Palestine was also raised in Malaysia كتائبالقسام GazaGenocide فلسطينالان غزةتستغيث مستشفىالقدس Gaza Gazabombing غزةالعزة إسرائيل ,Neutral,conflict
585,From the river to the sea Palestine will be free SAVEGAZA SAVEPALESTINE 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
586,are the new Nazis hell bent on the destruction of Palestine The Palestinians have lost their country bit by bit over the last 75 years Do you blame for fighting back in one desperate last struggle,Negative,war
587,Ölen Filistin halkı degilÖlen insanlık ümmet İnsanlık öldüümmet öldü:(( Palestine GazzedeKatliamVar,Neutral,conflict
588,This all is not Acceptable at any cost This all should be stopped I am Against IsraelTerorrist I stand with Palestine PalestineGenocide Free the state فلسطينالان,Positive,supportPalestine
589,Isnt it now more important for these Muslim brothers and sisters to go back home to help their people Leave then if they feel so much about Palestine go back and help,Positive,religionFight
590,Once upon a time in Iraq :: Must watch documentaries gaza iraq GazaGenocide Palestine PalestineHolocaust GenocideJoe USArmy,Neutral,conflict
591,Ek he taraf ki baat karo agar ladai karke he Palestine jitna hai to phir saare agreement ek taraf ho he jayenge,Positive,conflict
592,FreePalestine,Neutral,supportPalestine
593,current reading list: remembering the palestinian nakba/dr nur masalha nakba and survival/dr adel manna the biggest prison on earth and the ethnic cleansing of palestine/dr ilan pappe (cadillac desert + bitter fruit) ,Negative,israel_crime
594,It is clear its not about Hamas its all about genocide and wiping out Palestine to steal their land,Negative,genocide
595,Israel has the right to defend itself If the Palestinians defend themselves is this called terrorism This is called double standards Although there is no such thing as Israel only Palestine ,Negative,selfdefend
596,I STAND WITH PALESTINE 🇵🇸,Neutral,supportPalestine
597,Palestine will be free,Positive,supportPalestine
598,anyway he looks good af Flashback when you met me Your buzzcut and my hair bleached Even in my worst times You could see the best of me ,Positive,wonder
599,Is she so nieve that she thinks that only people of the Jewish faith are the victims of hate crimes What is happening now in Palestine is by any definition a hate crime Unfortunately Natasha Hausdorff is not an objective voice in this conflict,Negative,religionFight
600,Free Palestine from Hamas Freedom is not free,Positive,supportPalestine
601,Its Netanyahu who does not support this He wants Palestine removed entirely and his government has been chipping away at this idea for 75 years As it was always planned back in 1948,Negative,supportPalestine
602,Nah we all should be like Joe it aint our problem TF I never heard or seen Palestine 🇵🇸 support anything about America or black Americans Show PROOF Anyone Thats a whole different country whole different Laws whole different culture and history Americans need to stop,Positive,peace
603,Stop the genocide gaza palestine GazaGenocide ,Negative,peace
604,From the river to the sea Palestine will be free SAVEGAZA SAVEPALESTINE 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
605,i love my boyfriend so much the degree to which they have stood up for me against people i never thought id have to defend myself against the way theyve been taking care of me daily while standing on business for Palestine in a hardline Zionist natal family angel of mine ,Positive,peace
606,Yes Hamas doesnt favor a two state solution because theyre fighting to stamp out Israeli apartheid and colonialism triggering Exodus 20 from Palestine,Positive,war
607,I am standing for Palestine FreePalestine,Neutral,supportPalestine
608,Hamas must surrender then elections Maybe then reasonable people can negotiate Until then Palestine run by religious zealots and martyrs will always be a shitshow of pain and suffering,Negative,suffering
609,Wear a red long sleeve shirt and silver chains with a fitted hat if youre allys boyfriend ,Neutral,supportPalestine
610,Non mais vous ne comprenez pas on ne peut pas avoir dempathie pour les enfants de Palestine Sinon ça veut dire quon est pro terroriste Blanc ou noir,Negative,conflict
611,The world stands with Palestine All except World Leaders Why ,Neutral,supportPalestine
612,Always praying for the people of gaza Palestine FreePalestine GazaGenocide,Positive,supportPalestine
613,Please watch this video before you fall for the Hamas Palestine propaganda and learn in a few minutes something about history then read some history books instead of reading only fake crap on the net The history of Israel begins in the 2nd millennium BCE NOT 1949 facts,Negative,selfdefend
614,Ey yeryüzündeki muminler Müslümanlar birleşirse bu görüntüler gerçek olucak qatar arabia BAE كتائبالقسام مستشفىالقدس Gaza Palestine Pakistan suriye ırak mısır etopya ,Neutral,conflict
615,Globally including in Pakistan military courts play a crucial role in addressing national security issues Pakistan pakarmy PapaEnApuros GazaGenocide Gaza Palestine دہشتگردوںکیلیۓملٹریکورٹس ,Positive,conflict
616,Jordan is Arab Palestine,Neutral,conflict
617,کہاں ہیں عرب۔؟ کہاں ہیں مسلمان؟ GazaGenocide Gazabombing GazaUnderAttack GazaGenocides IsraelTerorrist PalestinianGenocide PalestineWar FreePalaestine Iraq Iran SaudiArabia Turkey kuwait dubai ,Neutral,war
618,Watch out what you wish for Hamas are hiding between the innocent people of Palestine and will use your love for the Palestinians to get into other countries and cause war ,Positive,peace
619,In 1939 the name Palestine was used mainly to refer to Jewish Palestine … just a detail,Neutral,religionFight
620,قضية فلسطين مش قضية دين اسلام او مسيحية او يهوديه قضية فلسطين قضية حرية وعدل ومساواه تحرير الارض لاصحابها ممن سرقها Isreal GazaGenocide Palestine,Neutral,conflict
621,am I fasting all day for these children in Palestine Yes ,Positive,sadly
622,WTF are you talking about Under Biden were at the verge of WW3 with Russia/Ukraine Israel/Palestine Under Trump everything was great Peace cost of living national security interest rates military Seriously what are you talking about ,Positive,peace
623,Joy Behar gave a mini speech about the war but didnt say muslim/islam Gaza or Palestine She only gave a zionist speech on antisemitism TheView,Neutral,war
624,Palestine was the one declining the 2 state agreements ,Positive,conflict
625,No hace falta ser periodista para entender lo que significa Free Palestine Lo acabamos de comprobar el 7 de Octubre y en las manifestaciones que le siguieron el 8 de octubre incluso antes de que Israel respondió Tu no eres periodista eres portavoz de ,Neutral,supportPalestine
626,Are you serious What Palestine Never been such entity before 48 The were the British and Othmans before that There were Arab and Jews living together until British mandate was over And then both of them got UN right to establish a state Israel did it Arabs fight till now,Negative,religionFight
627,UK and Europe are now waking up to understand what the protest Free Palestine really means,Positive,supportPalestine
628,MEMO ON THE FINAL SOLUTION FOR ONE STATE – ISRAEL OR PALESTINE ,Positive,conflict
629,oh they can send aid without having to be checked but for Palestine they have to check one by one the aid to be delivered from outside Israel is a TERRORIST state ,Negative,proIsrael
630,Palestine,Neutral,conflict
631,To my current moots: If i see you not posting ANYTHING about whats going on in palestine right now (like not even a simple repost) or posting/reposting things that are islamaphobic (whether its indiscreet or discreet) you will automatically be blocked my me,Negative,wonder
632,पहले लिखना सीख Palestine फिर खड़ी हो जइयो दोनो टांगो पर,Neutral,conflict
633,Palestine is their homeland why would they leave israelcuak opsbadai BringThemHome ,Negative,wonder
634,Palestine stands with Hamas ,Neutral,supportPalestine
635,️ILS BRULENT DES PORTRAITS DE MACRON ️ ️ A Ramallah en Palestine suite à la visite du président Français Emmanuel Macron en Israël puis en Palestine Macron des manifestants ont brûlés des images de Macron en sur la place publique israel palestine Macron Gaza Hamas ,Neutral,selfdefend
636,I dont care about what your opinion on this conflict is You cant be gay and for Palestine,Negative,war
637,And Romans didnt expel anyone Jews went to colonize the goyim nations because of their true religion and not Judaism Palestine always existed Jews came and stole lands from Canaatis as well,Positive,religionFight
638,People were whining free Ukraine not so long ago Did those texts free them Its not about being insensitive but typing Free Palestine isnt practical and isnt gonna change anything People are still gonna die sadly And it could happen to anyone of us,Negative,sadly
639,1 $lamist Palestine supporter calling India a terrorist state 2 DMK govt says no object to give bail to terrorist Al Ummah chief Basha 3 Active terror infra that is still being unearthed All this is a recipe for disaster &amp signal bad events around the corner for TN n/n,Negative,proIsrael
640,Tambah sikit palestine will be free maher zain Pejuang AlQassam Hijjaz tp kat youtube takde Music app lain taktau ade ke tak,Positive,supportPalestine
641,And Israel and the West have a shortage of empathy for the innocent people of Palestine who are the prime victims of the Israeli assault ,Negative,sadly
642,Why is she shaking hands with people that burned her neighbors alive ,Positive,supportPalestine
643,Palestine has no civil rights laws that protect LGBT people from discrimination nor harassment1 According to Pew Research 93% of the Palestinian population is completely opposed to homosexuality a percentage among the highest in the world,Positive,supportPalestine
644,ISIS beheaded Muslims and stormed Islamic countries has been ripping up children and storming not only Gaza but the whole Palestine for decades as well ISRAEL=ISIS GenocideinGaza,Positive,sadly
645,Oh lord … why cant we have it all I knew there was something off about him Cz of the American flag/the gun etc but I dont wanna unfollow only Cz hes bringing so much awareness to the genocide,Negative,genocide
646,en a ramallah palestine,Neutral,conflict
647,From the river to the sea palestine will be free Palestine gaza ,Positive,supportPalestine
648,All of us who stand with Palestine do not need to add anything further because this says it all when the POTUS sends out a msg that Palestinians have a right to self determination Gaza,Positive,supportPalestine
649,पुणे जिले के गय्यूर मुसलमानों ने अपना कौमी इत्तेहाद दिखाते हुए 228000++ से ज्यादा की तादाद में इकट्ठा होकर फिलिस्तीन के मुसलमानो के लिए हक में दुआ की। हम फिलिस्तीनियों के साथ थे साथ है और साथ रहेंगे। PuneWithPalestine Palestine PalestineGenocide ,Neutral,conflict
650,Put yourself or your kids in this shoes and imagine the children of Palestine What agony are they going through … GazaGenocide Gaza Palestine palestineGencide ,Negative,sadly
651,The government is dragging their feet on taking action against Israel who are continuing with their genocide against Palestinians in Gaza Show your support for Palestine this Saturday @ 1PM on Bedford Row for the government to bring in sanctions and expel the ambassador 🇵🇸🇵🇸🇵🇸 ,Negative,genocide
652,Palestine GazaGenocide Gaza Hamas israil SonDakika 28ekim GazzedeKatliamVar Filistin filistinmitingi Palestine istanbul ,Neutral,selfdefend
653,Point taken 4over 15 yrs@ Gaza has Hamas been using Palestine when Palestine needed nurtering Or is Hamas blaming Israel4the way Palestine is Does Israel obey GODS first commandment2LOVE thy neighbor When Israel learns 2LOVE&amp not kill then maybe peace ,Positive,peace
654,Has a problem chanting Bharat Mata ki hai but Palestine Palestine chilla raha hai lol,Positive,conflict
655,Ijbol it literally says to support Joe Bidens leadership that unequivocally supports Isntreal Meanwhile I dont see Lamas name on the pro Palestine petition that several celebrities signed a few days ago ,Positive,supportPalestine
656,Pro Humanity,Neutral,peace
657,Forcing a genocide You cant reason with this Nazis gonna nazi,Neutral,genocide
658,Israel and Palestine should he united into one state probably called the Abrahamic Republic of Jerusalem,Positive,government_war
659,More people are waking up Free Palestine,Positive,supportPalestine
660,Three teens arrested in Twickenham ‘for trying to set fire to Union flags in Palestine protest Evening Standard ,Negative,war
661,FreePalestine,Neutral,supportPalestine
662,Why dont you go make an NFT that has a picture of punctuation on it Go for it And in the meantime learn how to spell Palestine,Neutral,wonder
663,Also it is pretty fucking stupid to deny that Israel air strikes in densely populated area are killing civilians All you have to do is ask anyone who lived through these strikes in Palestine and Lebanon to tell you what they do,Negative,war
664,Its funny to see you guys in shambles trying so hard to spread your lies its okay though the world is starting to see through them Free Palestine 🇵🇸,Positive,supportPalestine
665,The actions of all terrorists in every corner of the globe dont take that right away Innocent civilians in Palestine and Israel have become the collateral damage as a result of both Hamas and Israel et al actions Est 5000+ killed in Gaza 1 500 killed in Israel,Negative,sadly
666,pour cela je lance cette appel à tous les immigrés en France de toutes confessions et qui son pour la cause palestiniene de faire une grève générale pendant une semaine pour la liberté de se manifesté et larrêt immédiat des répressions contre les musulmans et les pro palestine,Neutral,conflict
667,GazaGenocide FreePalestine,Neutral,supportPalestine
668,Why are we treating 20 year olds like geriatrics Shows like Riverdale initially cast 20 24 year olds to play 15 year olds but one cast member turning 22 after 7 years of playing a young character is where yall draw the line ,Positive,sadly
669,At the iconic Charminar in Hyderabad a spontaneous gathering of citizens and passionate social activists unfolded as they orchestrated a flash protest This dynamic demonstration was a powerful expression of solidarity with the people of Gaza and Palestine Against the ,Positive,supportPalestine
670,Israels terrorist state has been bombing Palestinian civilians like hell for 17 days Now could you feel the fear of death You all have to pay back Keep waiting for your turn now Palestine will be free soon InshaAllah,Negative,proIsrael
